Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,6181.1,5714.36,5932.31,5483.89,5817.1,5785.92,5430.79,5081.26,4723.86,4027.16,3661.11,3314.93,3006.28,2353.93,2026.81,1837.32,1492.64,1117.15,919.21,744.49
Tianjin,2027.34,1846.69,2141.06,1923.11,2410.41,2106.24,2310.36,2723.5,2667.11,2390.35,2079.07,1760.02,1455.13,1068.81,821.99,675.62,540.44,417.05,331.85,246.18
Hebei,4286.15,4056.3,4167.62,3826.46,3738.99,3513.86,3233.83,2849.87,2649.18,2446.62,2295.62,2084.28,1737.77,1331.85,1067.12,947.59,789.12,620.53,515.7,407.83
Shanxi,3479.15,3453.99,2834.47,2296.57,2347.75,2292.7,1867,1557,1642.35,1820.64,1701.62,1516.38,1213.43,969.67,805.83,748,597.89,583.38,368.34,256.36
Inner Mongolia,3083.4,2824.39,2349.95,2051.2,2059.69,1857.65,1703.21,2016.43,1964.48,1843.67,1720.98,1552.75,1356.67,1069.98,850.86,650.68,492.36,343.38,277.46,196.76
Liaoning,2753.96,2525.07,2765.59,2655.75,2652.4,2616.08,2392.77,2200.49,2127.39,3192.78,3343.81,3105.38,2643.15,2004.84,1591.22,1356.08,1082.69,817.67,675.28,529.64
Jilin,1074.84,851,1143.98,1085.02,1116.95,1240.89,1210.91,1263.78,1229.35,1203.38,1156.96,1041.25,850.1,602.41,487.09,422.8,320.69,245.2,207.15,166.28
Heilongjiang,1395.97,1290.66,1300.51,1152.51,1262.76,1282.6,1243.31,1148.41,1165.88,1301.31,1277.4,1163.17,997.55,755.58,641.66,578.28,440.47,386.84,318.21,289.42
Shanghai,8312.5,7608,7771.8,7046.3,7165.1,7108.15,6642.26,6406.13,5519.5,4585.55,4109.51,3743.71,3429.83,2873.58,2540.3,2358.75,2074.48,1576.07,1417.4,1106.19
Jiangsu,9930.18,9258.88,10015.16,9058.99,8802.36,8630.16,8171.53,8121.23,8028.59,7233.14,6568.46,5860.69,5148.91,4079.86,3228.78,2731.41,2237.73,1656.68,1322.68,980.49
Zhejiang,8600.02,8039.85,8262.64,7248.24,7048.58,6598.21,5804.38,5301.98,4809.94,4122.02,3796.92,3441.23,3150.8,2608.47,2142.51,1933.39,1649.5,1298.2,1066.6,805.95
Anhui,3938.96,3589.14,3498.19,3216.01,3182.71,3048.67,2812.45,2672.79,2454.3,2218.44,2075.08,1792.72,1463.56,1149.4,863.92,724.62,543.7,428.03,334.02,274.63
Fujian,3591.87,3339.21,3383.4,3079.04,3052.93,3007.41,2809.03,2654.83,2544.24,2362.21,2119.45,1776.17,1501.51,1151.49,932.43,833.4,699.46,541.17,432.6,333.52
Jiangxi,3059.59,2948.33,2812.23,2507.54,2487.39,2373.01,2247.06,2151.47,2165.74,1881.83,1621.24,1371.99,1053.43,778.09,581.3,488.65,389.85,305.52,252.92,205.77
Shandong,7464.72,7104.1,7284.46,6559.93,6526.71,6485.4,6098.63,5860.18,5529.33,5026.83,4559.95,4059.43,3455.93,2749.38,2198.63,1957.05,1675.4,1356.25,1073.13,828.33
Henan,4512.05,4250.35,4353.92,4168.84,4041.89,3766.02,3407.22,3153.47,3016.05,2739.26,2415.45,2040.33,1721.76,1381.32,1126.06,1008.9,862.08,679.17,537.65,428.78
Hubei,3692.26,3281.13,3283.32,2511.54,3388.57,3307.08,3248.32,3102.06,3005.53,2566.9,2191.22,1823.05,1526.91,1011.23,814.87,710.85,590.36,476.08,375.52,310.45
Hunan,3360.51,3101.76,3250.69,3008.66,3007.15,2860.84,2757.82,2697.88,2515.43,2262.79,2030.88,1782.16,1517.07,1081.69,847.62,722.71,606.55,477.93,395.27,320.63
Guangdong,13851.3,13260.88,14105.04,12923.85,12654.53,12105.26,11320.35,10390.35,9366.78,8065.08,7081.47,6229.18,5514.84,4517.04,3649.81,3310.32,2785.8,2179.46,1807.2,1418.51
Guangxi,1783.8,1687.72,1800.15,1716.94,1811.89,1681.45,1615.13,1556.27,1515.16,1422.28,1317.6,1166.06,947.72,771.99,620.99,518.42,418.83,342.58,283.04,237.77
Hainan,900.69,832.43,921.16,816.06,814.14,752.67,674.11,637.51,627.7,555.31,481.01,409.44,340.12,270.99,178.24,144.86,108.29,81.81,68.68,57.04
Chongqing,2440.7,2103.42,2285.45,2094.85,2134.93,2265.54,2252.38,2227.91,2154.83,1922.02,1693.24,1703.49,1488.33,952.07,655.17,577.57,442.7,317.72,256.81,200.62
Sichuan,5529.12,4880.55,4773.15,4260.89,4070.83,3911.01,3577.99,3388.85,3355.44,3061.07,2784.1,2421.27,2044.79,1561.67,1174.59,1041.66,850.86,607.59,479.66,385.78
Guizhou,2078.25,1886.41,1969.39,1786.8,1767.47,1726.85,1613.84,1561.34,1503.38,1366.67,1206.41,1014.05,773.08,533.73,416.48,347.84,285.14,226.82,182.5,149.29
Yunnan,2149.44,1949.46,2278.29,2116.69,2073.56,1994.35,1886.17,1812.29,1808.1,1698.06,1611.3,1338.15,1111.16,871.19,698.25,614.05,486.71,379.97,312.65,263.36
Tibet,236.62,179.63,215.62,220.99,221.99,230.35,185.83,155.99,137.13,124.27,95.02,86.58,54.76,36.65,30.09,24.88,20.14,14.56,12.03,10.02
Shaanxi,3437.36,3311.57,2775.42,2257.31,2287.9,2243.14,2006.69,1833.99,2059.95,1890.4,1748.33,1600.69,1500.18,958.21,735.27,591.48,475.24,362.48,275.32,214.96
Gansu,1003.46,907.65,1001.86,874.55,850.49,871.05,815.73,786.97,743.86,672.67,607.27,520.4,450.12,353.58,286.59,264.97,190.91,141.22,123.5,104.16
Qinghai,381.31,329.1,328.76,297.99,282.25,272.89,246.2,238.51,267.13,251.68,223.86,186.42,151.81,110.22,87.74,71.57,56.71,42.24,33.82,27
Ningxia,502.26,460.15,460.01,419.44,423.58,436.52,417.59,387.66,373.4,339.86,308.34,263.96,219.98,153.55,111.58,95.01,80.03,61.36,47.72,37.47
Xinjiang,2179.69,1889.76,1618.61,1477.22,1577.63,1531.42,1466.52,1298.95,1330.9,1282.34,1128.49,908.97,720.43,500.58,388.78,361.06,285.86,219.46,180.32,155.7
